text,label
Identity proof has been attached to this email for verification purposes.,sensitive
Server access credentials are enclosed. Store them securely and do not share.,sensitive
Service account credentials are enclosed. These provide full production database access.,sensitive
Internal server IP addresses and admin passwords are listed below. Do not share externally.,sensitive
Driving licence is accepted as a valid address proof for bank account opening procedures.,safe
Salary and compensation details for all staff are enclosed. For authorised HR use only.,sensitive
Employee payroll data for this month is attached. For authorised HR personnel only.,sensitive
Revised CTC details are provided below. Do not discuss this with other employees.,sensitive
SSH private key is attached to this message. Do not share this file under any circumstances.,sensitive
Please find a copy of the Aadhaar card attached for address verification.,sensitive
Be cautious of social engineering attacks that try to extract credentials over the phone.,safe
Password managers are recommended for all employees to securely store their login credentials.,safe
Access logs are maintained for all interactions with systems containing personal data.,safe
Login credentials are provided below. Do not share with anyone outside the team.,sensitive
Security code is provided below. It is valid for five minutes only. Do not share with anyone.,sensitive
Container orchestration platforms like Kubernetes require careful RBAC configuration.,safe
Ransomware attacks often begin with a phishing email containing a malicious attachment.,safe
"Multi-factor authentication codes must never be shared with anyone, including IT support staff.",safe
Health insurance details and policy number are attached for the employee records.,sensitive
Internal server IP addresses and admin passwords are listed below. Do not share externally.,sensitive
The UPI ID and linked bank account details are provided below for payment processing.,sensitive
Annual CTC breakdown is attached. This is a private communication between HR and the employee.,sensitive
PAN card details should not be posted on social media or shared in public forums.,safe
UPI transactions are protected by a PIN that should never be shared with anyone.,safe
Aadhaar and PAN details have been submitted as part of the KYC verification process.,sensitive
The data privacy policy requires masking of Aadhaar and PAN in all non-production databases.,safe
Our system does not retain credit card numbers after transaction completion.,safe
SSH private key is attached to this message. Do not share this file under any circumstances.,sensitive
API key and secret token are provided below. Rotate them after first use.,sensitive
The bank statement for the requested period is enclosed in this email. Handle with care.,sensitive
Wire transfer instructions and account details are provided below. Treat as confidential.,sensitive
Personal data must be deleted within 30 days of a user submitting a deletion request.,safe
Root SSH credentials for the cloud server are provided below. Restrict to senior engineers.,sensitive
The PAN card is a 10-character alphanumeric identifier issued by the Income Tax Department.,safe
The password policy mandates a minimum of 12 characters including uppercase and special symbols.,safe
The new software build has been deployed to the staging environment for quality assurance.,safe
Employee payroll data for this month is attached. For authorised HR personnel only.,sensitive
Please find a copy of the Aadhaar card attached for address verification.,sensitive
Ransomware attacks often begin with a phishing email containing a malicious attachment.,safe
DevSecOps integrates security practices into every stage of the software development lifecycle.,safe
Internal audit findings are enclosed for the compliance team. Not for external distribution.,sensitive
The merger negotiation terms and financial projections are enclosed. Board access only.,sensitive
Your access token is attached. Update your environment configuration file with the new value.,sensitive
Personal health data report is attached. This document must not be shared beyond the care team.,sensitive
New login details are provided in the attachment. Change the password upon first login.,sensitive
The bank statement for the requested period is enclosed in this email. Handle with care.,sensitive
AWS access key and secret are provided below for the deployment pipeline configuration.,sensitive
Insurance policy documents should be stored safely and reviewed annually for coverage adequacy.,safe
Revised CTC details are provided below. Do not discuss this with other employees.,sensitive
Root SSH credentials for the cloud server are provided below. Restrict to senior engineers.,sensitive
All sensitive files must be encrypted before being transmitted over any external network.,safe
Voter ID registration is complete. Your personal details have been submitted to the electoral office.,sensitive
Employee payroll data for this month is attached. For authorised HR personnel only.,sensitive
The bearer token for the payment gateway integration is enclosed. Do not log or expose this.,sensitive
Server access credentials are enclosed. Store them securely and do not share.,sensitive
API key and secret token are provided below. Rotate them after first use.,sensitive
Employees must change their passwords every 90 days in accordance with the IT security policy.,safe
The bank has upgraded its mobile application with improved security and transaction features.,safe
Health insurance details and policy number are attached for the employee records.,sensitive
Aadhaar-based authentication has significantly reduced identity fraud across government services.,safe
Voter ID card serves as valid identity proof for government services and financial institutions.,safe
SSH private key is attached to this message. Do not share this file under any circumstances.,sensitive
GST registration number and business identity documents are enclosed for verification.,sensitive
VPN credentials and server IP addresses are listed below for remote access setup.,sensitive
Health insurance details and policy number are attached for the employee records.,sensitive
AWS access key and secret are provided below for the deployment pipeline configuration.,sensitive
Phishing emails often impersonate banks and request account credentials from recipients.,safe
PAN card details should not be posted on social media or shared in public forums.,safe
PAN card is required for income tax filing and for all financial transactions above Rs.50000.,safe
Public Wi-Fi networks should not be used for banking or accessing sensitive company systems.,safe
The acquisition due diligence report is attached. Treat as commercially sensitive.,sensitive
"Users should never share their OTP with anyone, including company support representatives.",safe
Our system does not retain credit card numbers after transaction completion.,safe
The bank statement for the requested period is enclosed in this email. Handle with care.,sensitive
"Users should never share their OTP with anyone, including company support representatives.",safe
